001  00001 |Loss: 2.395 | Acc: 8.594% 
001  00002 |Loss: 2.372 | Acc: 9.375% 
001  00003 |Loss: 2.348 | Acc: 11.198% 
001  00004 |Loss: 2.353 | Acc: 10.352% 
001  00005 |Loss: 2.353 | Acc: 11.094% 
001  00006 |Loss: 2.336 | Acc: 11.719% 
001  00007 |Loss: 2.333 | Acc: 12.500% 
001  00008 |Loss: 2.316 | Acc: 13.086% 
001  00009 |Loss: 2.309 | Acc: 13.194% 
001  00010 |Loss: 2.299 | Acc: 13.672% 
001  00011 |Loss: 2.287 | Acc: 14.773% 
001  00012 |Loss: 2.273 | Acc: 15.365% 
001  00013 |Loss: 2.267 | Acc: 15.745% 
001  00014 |Loss: 2.253 | Acc: 16.295% 
001  00015 |Loss: 2.241 | Acc: 16.719% 
001  00016 |Loss: 2.241 | Acc: 16.797% 
001  00017 |Loss: 2.230 | Acc: 17.279% 
001  00018 |Loss: 2.218 | Acc: 17.665% 
001  00019 |Loss: 2.213 | Acc: 17.887% 
001  00020 |Loss: 2.205 | Acc: 18.477% 
001  00021 |Loss: 2.194 | Acc: 19.196% 
001  00022 |Loss: 2.188 | Acc: 19.567% 
001  00023 |Loss: 2.178 | Acc: 19.803% 
001  00024 |Loss: 2.174 | Acc: 19.889% 
001  00025 |Loss: 2.169 | Acc: 20.312% 
001  00026 |Loss: 2.165 | Acc: 20.523% 
001  00027 |Loss: 2.157 | Acc: 20.631% 
001  00028 |Loss: 2.151 | Acc: 20.871% 
001  00029 |Loss: 2.142 | Acc: 21.228% 
001  00030 |Loss: 2.133 | Acc: 21.458% 
001  00031 |Loss: 2.129 | Acc: 21.699% 
001  00032 |Loss: 2.121 | Acc: 22.070% 
001  00033 |Loss: 2.113 | Acc: 22.467% 
001  00034 |Loss: 2.106 | Acc: 22.564% 
001  00035 |Loss: 2.101 | Acc: 22.768% 
001  00036 |Loss: 2.095 | Acc: 23.025% 
001  00037 |Loss: 2.090 | Acc: 23.374% 
001  00038 |Loss: 2.085 | Acc: 23.602% 
001  00039 |Loss: 2.079 | Acc: 23.818% 
001  00040 |Loss: 2.077 | Acc: 23.926% 
001  00041 |Loss: 2.070 | Acc: 24.238% 
001  00042 |Loss: 2.062 | Acc: 24.516% 
001  00043 |Loss: 2.059 | Acc: 24.618% 
001  00044 |Loss: 2.054 | Acc: 24.805% 
001  00045 |Loss: 2.048 | Acc: 25.000% 
001  00046 |Loss: 2.041 | Acc: 25.221% 
001  00047 |Loss: 2.039 | Acc: 25.283% 
001  00048 |Loss: 2.036 | Acc: 25.423% 
001  00049 |Loss: 2.032 | Acc: 25.590% 
001  00050 |Loss: 2.026 | Acc: 25.828% 
001  00051 |Loss: 2.018 | Acc: 26.103% 
001  00052 |Loss: 2.014 | Acc: 26.157% 
001  00053 |Loss: 2.010 | Acc: 26.312% 
001  00054 |Loss: 2.007 | Acc: 26.476% 
001  00055 |Loss: 2.004 | Acc: 26.562% 
001  00056 |Loss: 2.001 | Acc: 26.618% 
001  00057 |Loss: 1.998 | Acc: 26.809% 
001  00058 |Loss: 1.992 | Acc: 27.047% 
001  00059 |Loss: 1.990 | Acc: 27.211% 
001  00060 |Loss: 1.986 | Acc: 27.357% 
001  00061 |Loss: 1.983 | Acc: 27.421% 
001  00062 |Loss: 1.981 | Acc: 27.558% 
001  00063 |Loss: 1.977 | Acc: 27.654% 
001  00064 |Loss: 1.973 | Acc: 27.747% 
001  00065 |Loss: 1.970 | Acc: 27.873% 
001  00066 |Loss: 1.966 | Acc: 27.995% 
001  00067 |Loss: 1.966 | Acc: 27.985% 
001  00068 |Loss: 1.963 | Acc: 28.125% 
001  00069 |Loss: 1.961 | Acc: 28.170% 
001  00070 |Loss: 1.956 | Acc: 28.315% 
001  00071 |Loss: 1.954 | Acc: 28.378% 
001  00072 |Loss: 1.951 | Acc: 28.472% 
001  00073 |Loss: 1.948 | Acc: 28.564% 
001  00074 |Loss: 1.945 | Acc: 28.632% 
001  00075 |Loss: 1.942 | Acc: 28.750% 
001  00076 |Loss: 1.936 | Acc: 28.988% 
001  00077 |Loss: 1.934 | Acc: 29.140% 
001  00078 |Loss: 1.930 | Acc: 29.247% 
001  00079 |Loss: 1.927 | Acc: 29.361% 
